variant,city_id,city_name,split,road_policy,stable_bare,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,ignore_pixels,valid_pixels,total_pixels,removed_valid_pixels_vs_v3,retained_valid_fraction_vs_v3,retained_road_fraction_vs_v3,retained_bare_fraction_vs_v3
v31_resolution_road_stable_bare,DE10,Dortmund,train,resolution_aware,1,665587,26100,4325951,28713,113663,3839986,5160014,9000000,527605,0.9072362266178519,0.04783277222986854,0.7809448690401719
v31_major_road_stable_bare,DE10,Dortmund,train,high_precision_major,1,665587,9694,4325951,28713,113663,3856392,5143608,9000000,544011,0.9043517155421276,0.01776593463587531,0.7809448690401719
v3_control,DE11,Hamburg,train,none,0,804953,546455,3395726,35529,461811,3755526,5244474,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE11,Hamburg,train,none,1,804953,546455,3395726,31777,461811,3759278,5240722,9000000,3752,0.9992845803030008,1.0,0.8943961271074333
v31_resolution_road_only,DE11,Hamburg,train,resolution_aware,0,804953,45162,3395726,35529,461811,4256819,4743181,9000000,501293,0.9044150090171102,0.08264541453550613,1.0
v31_major_road_only,DE11,Hamburg,train,high_precision_major,0,804953,28605,3395726,35529,461811,4273376,4726624,9000000,517850,0.9012579717241423,0.05234648781692912,1.0
v31_resolution_road_stable_bare,DE11,Hamburg,train,resolution_aware,1,804953,45162,3395726,31777,461811,4260571,4739429,9000000,505045,0.9036995893201111,0.08264541453550613,0.8943961271074333
v31_major_road_stable_bare,DE11,Hamburg,train,high_precision_major,1,804953,28605,3395726,31777,461811,4277128,4722872,9000000,521602,0.9005425520271433,0.05234648781692912,0.8943961271074333
v3_control,DE12,Bremen,train,none,0,492834,350300,5175135,12528,214548,2754655,6245345,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE12,Bremen,train,none,1,492834,350300,5175135,10415,214548,2756768,6243232,9000000,2113,0.9996616680103341,1.0,0.831337803320562
v31_resolution_road_only,DE12,Bremen,train,resolution_aware,0,492834,22272,5175135,12528,214548,3082683,5917317,9000000,328028,0.947476400423035,0.06357978875249785,1.0
v31_major_road_only,DE12,Bremen,train,high_precision_major,0,492834,8691,5175135,12528,214548,3096264,5903736,9000000,341609,0.945301820796129,0.02481016271767057,1.0
v31_resolution_road_stable_bare,DE12,Bremen,train,resolution_aware,1,492834,22272,5175135,10415,214548,3084796,5915204,9000000,330141,0.9471380684333691,0.06357978875249785,0.831337803320562
v31_major_road_stable_bare,DE12,Bremen,train,high_precision_major,1,492834,8691,5175135,10415,214548,3098377,5901623,9000000,343722,0.9449634888064631,0.02481016271767057,0.831337803320562
v3_control,DE13,Hanover,train,none,0,484416,348984,5070650,34381,125878,2935691,6064309,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE13,Hanover,train,none,1,484416,348984,5070650,32750,125878,2937322,6062678,9000000,1631,0.9997310493248283,1.0,0.9525610075332306
v31_resolution_road_only,DE13,Hanover,train,resolution_aware,0,484416,25868,5070650,34381,125878,3258807,5741193,9000000,323116,0.9467184142496696,0.07412374206267336,1.0
v31_major_road_only,DE13,Hanover,train,high_precision_major,0,484416,11574,5070650,34381,125878,3273101,5726899,9000000,337410,0.9443613443840015,0.03316484423354652,1.0
v31_resolution_road_stable_bare,DE13,Hanover,train,resolution_aware,1,484416,25868,5070650,32750,125878,3260438,5739562,9000000,324747,0.9464494635744979,0.07412374206267336,0.9525610075332306
v31_major_road_stable_bare,DE13,Hanover,train,high_precision_major,1,484416,11574,5070650,32750,125878,3274732,5725268,9000000,339041,0.9440923937088298,0.03316484423354652,0.9525610075332306
v3_control,DE14,Berlin,train,none,0,1036023,707524,2789508,10137,256938,4199870,4800130,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE14,Berlin,train,none,1,1036023,707524,2789508,7154,256938,4202853,4797147,9000000,2983,0.999378558497374,1.0,0.705731478741245
v31_resolution_road_only,DE14,Berlin,train,resolution_aware,0,1036023,69927,2789508,10137,256938,4837467,4162533,9000000,637597,0.867170889121753,0.09883339646428956,1.0
v31_major_road_only,DE14,Berlin,train,high_precision_major,0,1036023,30355,2789508,10137,256938,4877039,4122961,9000000,677169,0.8589269457285532,0.04290313826810115,1.0
v31_resolution_road_stable_bare,DE14,Berlin,train,resolution_aware,1,1036023,69927,2789508,7154,256938,4840450,4159550,9000000,640580,0.866549447619127,0.09883339646428956,0.705731478741245
v31_major_road_stable_bare,DE14,Berlin,train,high_precision_major,1,1036023,30355,2789508,7154,256938,4880022,4119978,9000000,680152,0.8583055042259272,0.04290313826810115,0.705731478741245
v3_control,DE15,Leipzig,val,none,0,363897,323762,5566212,32637,348516,2364976,6635024,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE15,Leipzig,val,none,1,363897,323762,5566212,32059,348516,2365554,6634446,9000000,578,0.9999128865246003,1.0,0.9822900389128902
v31_resolution_road_only,DE15,Leipzig,val,resolution_aware,0,363897,35402,5566212,32637,348516,2653336,6346664,9000000,288360,0.9565397201276137,0.10934575397977526,1.0
v31_major_road_only,DE15,Leipzig,val,high_precision_major,0,363897,13475,5566212,32637,348516,2675263,6324737,9000000,310287,0.953234984530576,0.04162007894688073,1.0
v31_resolution_road_stable_bare,DE15,Leipzig,val,resolution_aware,1,363897,35402,5566212,32059,348516,2653914,6346086,9000000,288938,0.9564526066522141,0.10934575397977526,0.9822900389128902
v31_major_road_stable_bare,DE15,Leipzig,val,high_precision_major,1,363897,13475,5566212,32059,348516,2675841,6324159,9000000,310865,0.9531478710551763,0.04162007894688073,0.9822900389128902
v3_control,DE16,Dresden,val,none,0,378823,365957,5822201,18430,117488,2297101,6702899,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE16,Dresden,val,none,1,378823,365957,5822201,17312,117488,2298219,6701781,9000000,1118,0.9998332064976662,1.0,0.9393380358111775
v31_resolution_road_only,DE16,Dresden,val,resolution_aware,0,378823,52676,5822201,18430,117488,2610382,6389618,9000000,313281,0.9532618647543398,0.14394040829933571,1.0
v31_major_road_only,DE16,Dresden,val,high_precision_major,0,378823,15684,5822201,18430,117488,2647374,6352626,9000000,350273,0.9477430586377625,0.04285749418647546,1.0
v31_resolution_road_stable_bare,DE16,Dresden,val,resolution_aware,1,378823,52676,5822201,17312,117488,2611500,6388500,9000000,314399,0.953095071252006,0.14394040829933571,0.9393380358111775
v31_major_road_stable_bare,DE16,Dresden,val,high_precision_major,1,378823,15684,5822201,17312,117488,2648492,6351508,9000000,351391,0.9475762651354287,0.04285749418647546,0.9393380358111775
v3_control,DE17,Munster,val,none,0,273960,270793,6940919,7332,52263,1454733,7545267,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE17,Munster,val,none,1,273960,270793,6940919,6246,52263,1455819,7544181,9000000,1086,0.9998560687116838,1.0,0.8518821603927987
v31_resolution_road_only,DE17,Munster,val,resolution_aware,0,273960,17398,6940919,7332,52263,1708128,7291872,9000000,253395,0.9664166953932843,0.06424833729084578,1.0
v31_major_road_only,DE17,Munster,val,high_precision_major,0,273960,9571,6940919,7332,52263,1715955,7284045,9000000,261222,0.9653793563567731,0.03534434051101764,1.0
v31_resolution_road_stable_bare,DE17,Munster,val,resolution_aware,1,273960,17398,6940919,6246,52263,1709214,7290786,9000000,254481,0.9662727641049681,0.06424833729084578,0.8518821603927987
v31_major_road_stable_bare,DE17,Munster,val,high_precision_major,1,273960,9571,6940919,6246,52263,1717041,7282959,9000000,262308,0.9652354250684568,0.03534434051101764,0.8518821603927987
