split,metric,population,quantile,value,population_tile_count
train,padding_fraction,all_tiles,0.99,0.28125,2016
train,padding_fraction,all_tiles,1.0,0.4833984375,2016
train,padding_fraction,positive_tiles,0.0,0.28125,322
train,padding_fraction,positive_tiles,0.25,0.28125,322
train,padding_fraction,positive_tiles,0.5,0.28125,322
train,padding_fraction,positive_tiles,0.75,0.28125,322
train,padding_fraction,positive_tiles,0.9,0.28125,322
train,padding_fraction,positive_tiles,0.95,0.28125,322
train,padding_fraction,positive_tiles,0.99,0.4833984375,322
train,padding_fraction,positive_tiles,1.0,0.4833984375,322
train,conflict_fraction_source_pixels,all_tiles,0.0,0.0,2016
train,conflict_fraction_source_pixels,all_tiles,0.25,0.026641845703125,2016
train,conflict_fraction_source_pixels,all_tiles,0.5,0.05650362761124321,2016
train,conflict_fraction_source_pixels,all_tiles,0.75,0.10582351684570312,2016
train,conflict_fraction_source_pixels,all_tiles,0.9,0.16941070556640625,2016
train,conflict_fraction_source_pixels,all_tiles,0.95,0.20954281350840692,2016
train,conflict_fraction_source_pixels,all_tiles,0.99,0.2832168579101562,2016
train,conflict_fraction_source_pixels,all_tiles,1.0,0.5201873779296875,2016
train,conflict_fraction_source_pixels,positive_tiles,0.0,0.00010614809782608695,2015
train,conflict_fraction_source_pixels,positive_tiles,0.25,0.0266571044921875,2015
train,conflict_fraction_source_pixels,positive_tiles,0.5,0.05653447690217391,2015
train,conflict_fraction_source_pixels,positive_tiles,0.75,0.10582733154296875,2015
train,conflict_fraction_source_pixels,positive_tiles,0.9,0.16944580078125004,2015
train,conflict_fraction_source_pixels,positive_tiles,0.95,0.20957210374915078,2015
train,conflict_fraction_source_pixels,positive_tiles,0.99,0.28321899414062496,2015
train,conflict_fraction_source_pixels,positive_tiles,1.0,0.5201873779296875,2015
train,buildings_fraction_valid,all_tiles,0.0,0.0,2016
train,buildings_fraction_valid,all_tiles,0.25,0.02643208533714853,2016
train,buildings_fraction_valid,all_tiles,0.5,0.07897273157858126,2016
train,buildings_fraction_valid,all_tiles,0.75,0.1835028786371317,2016
train,buildings_fraction_valid,all_tiles,0.9,0.3696812725031171,2016
train,buildings_fraction_valid,all_tiles,0.95,0.4663155276681314,2016
train,buildings_fraction_valid,all_tiles,0.99,0.5845192667820122,2016
train,buildings_fraction_valid,all_tiles,1.0,0.6921718008170475,2016
train,buildings_fraction_valid,positive_tiles,0.0,1.552385239921139e-05,2004
train,buildings_fraction_valid,positive_tiles,0.25,0.02722489683906161,2004
train,buildings_fraction_valid,positive_tiles,0.5,0.07991680037632733,2004
train,buildings_fraction_valid,positive_tiles,0.75,0.1846591866547532,2004
train,buildings_fraction_valid,positive_tiles,0.9,0.3706057731936699,2004
train,buildings_fraction_valid,positive_tiles,0.95,0.46786812919580295,2004
train,buildings_fraction_valid,positive_tiles,0.99,0.5846184298575898,2004
train,buildings_fraction_valid,positive_tiles,1.0,0.6921718008170475,2004
train,roads_fraction_valid,all_tiles,0.0,0.0,2016
train,roads_fraction_valid,all_tiles,0.25,0.02834979786751348,2016
train,roads_fraction_valid,all_tiles,0.5,0.06400879822645646,2016
train,roads_fraction_valid,all_tiles,0.75,0.13192896714658006,2016
train,roads_fraction_valid,all_tiles,0.9,0.23292249497428927,2016
train,roads_fraction_valid,all_tiles,0.95,0.27575424228368595,2016
train,roads_fraction_valid,all_tiles,0.99,0.33835460513463966,2016
train,roads_fraction_valid,all_tiles,1.0,0.6529884032114184,2016
train,roads_fraction_valid,positive_tiles,0.0,0.00013769257837002586,2010
train,roads_fraction_valid,positive_tiles,0.25,0.028782033233081396,2010
train,roads_fraction_valid,positive_tiles,0.5,0.06427772856418584,2010
train,roads_fraction_valid,positive_tiles,0.75,0.1322372327854326,2010
train,roads_fraction_valid,positive_tiles,0.9,0.23328790374693692,2010
train,roads_fraction_valid,positive_tiles,0.95,0.2757922520715296,2010
train,roads_fraction_valid,positive_tiles,0.99,0.3383844496392748,2010
train,roads_fraction_valid,positive_tiles,1.0,0.6529884032114184,2010
train,vegetation_fraction_valid,all_tiles,0.0,0.0,2016
train,vegetation_fraction_valid,all_tiles,0.25,0.6083517483191836,2016
train,vegetation_fraction_valid,all_tiles,0.5,0.8200235019930178,2016
train,vegetation_fraction_valid,all_tiles,0.75,0.9281211897440815,2016
train,vegetation_fraction_valid,all_tiles,0.9,0.9714048834359651,2016
train,vegetation_fraction_valid,all_tiles,0.95,0.9835205682892445,2016
