split,metric,population,quantile,value,population_tile_count
all,water_fraction_valid,all_tiles,0.75,0.024895455659892315,2880
all,water_fraction_valid,all_tiles,0.9,0.11050426603546157,2880
all,water_fraction_valid,all_tiles,0.95,0.21357085044479698,2880
all,water_fraction_valid,all_tiles,0.99,0.5183928392924168,2880
all,water_fraction_valid,all_tiles,1.0,1.0,2880
all,water_fraction_valid,positive_tiles,0.0,1.650355651642929e-05,1531
all,water_fraction_valid,positive_tiles,0.25,0.005739571738642922,1531
all,water_fraction_valid,positive_tiles,0.5,0.021964471503988284,1531
all,water_fraction_valid,positive_tiles,0.75,0.07568297505723556,1531
all,water_fraction_valid,positive_tiles,0.9,0.20475584499837812,1531
all,water_fraction_valid,positive_tiles,0.95,0.30801209370531313,1531
all,water_fraction_valid,positive_tiles,0.99,0.729741233780229,1531
all,water_fraction_valid,positive_tiles,1.0,1.0,1531
train,valid_fraction_source_pixels,all_tiles,0.0,0.0162811279296875,2016
train,valid_fraction_source_pixels,all_tiles,0.25,0.49584197998046875,2016
train,valid_fraction_source_pixels,all_tiles,0.5,0.6747257398522418,2016
train,valid_fraction_source_pixels,all_tiles,0.75,0.8211898803710938,2016
train,valid_fraction_source_pixels,all_tiles,0.9,0.9095724354619565,2016
train,valid_fraction_source_pixels,all_tiles,0.95,0.9490394592285156,2016
train,valid_fraction_source_pixels,all_tiles,0.99,0.9854240417480469,2016
train,valid_fraction_source_pixels,all_tiles,1.0,0.999847412109375,2016
train,valid_fraction_source_pixels,positive_tiles,0.0,0.0162811279296875,2016
train,valid_fraction_source_pixels,positive_tiles,0.25,0.49584197998046875,2016
train,valid_fraction_source_pixels,positive_tiles,0.5,0.6747257398522418,2016
train,valid_fraction_source_pixels,positive_tiles,0.75,0.8211898803710938,2016
train,valid_fraction_source_pixels,positive_tiles,0.9,0.9095724354619565,2016
train,valid_fraction_source_pixels,positive_tiles,0.95,0.9490394592285156,2016
train,valid_fraction_source_pixels,positive_tiles,0.99,0.9854240417480469,2016
train,valid_fraction_source_pixels,positive_tiles,1.0,0.999847412109375,2016
train,padding_fraction,all_tiles,0.0,0.0,2016
train,padding_fraction,all_tiles,0.25,0.0,2016
train,padding_fraction,all_tiles,0.5,0.0,2016
train,padding_fraction,all_tiles,0.75,0.0,2016
train,padding_fraction,all_tiles,0.9,0.28125,2016
train,padding_fraction,all_tiles,0.95,0.28125,2016
train,padding_fraction,all_tiles,0.99,0.28125,2016
train,padding_fraction,all_tiles,1.0,0.4833984375,2016
train,padding_fraction,positive_tiles,0.0,0.28125,322
train,padding_fraction,positive_tiles,0.25,0.28125,322
train,padding_fraction,positive_tiles,0.5,0.28125,322
train,padding_fraction,positive_tiles,0.75,0.28125,322
train,padding_fraction,positive_tiles,0.9,0.28125,322
train,padding_fraction,positive_tiles,0.95,0.28125,322
train,padding_fraction,positive_tiles,0.99,0.4833984375,322
train,padding_fraction,positive_tiles,1.0,0.4833984375,322
train,conflict_fraction_source_pixels,all_tiles,0.0,0.0,2016
train,conflict_fraction_source_pixels,all_tiles,0.25,0.026641845703125,2016
train,conflict_fraction_source_pixels,all_tiles,0.5,0.05650362761124321,2016
train,conflict_fraction_source_pixels,all_tiles,0.75,0.10582351684570312,2016
train,conflict_fraction_source_pixels,all_tiles,0.9,0.16941070556640625,2016
train,conflict_fraction_source_pixels,all_tiles,0.95,0.20954281350840692,2016
train,conflict_fraction_source_pixels,all_tiles,0.99,0.2832168579101562,2016
train,conflict_fraction_source_pixels,all_tiles,1.0,0.5201873779296875,2016
train,conflict_fraction_source_pixels,positive_tiles,0.0,0.00010614809782608695,2015
train,conflict_fraction_source_pixels,positive_tiles,0.25,0.0266571044921875,2015
train,conflict_fraction_source_pixels,positive_tiles,0.5,0.05653447690217391,2015
train,conflict_fraction_source_pixels,positive_tiles,0.75,0.10582733154296875,2015
train,conflict_fraction_source_pixels,positive_tiles,0.9,0.16944580078125004,2015
train,conflict_fraction_source_pixels,positive_tiles,0.95,0.20957210374915078,2015
train,conflict_fraction_source_pixels,positive_tiles,0.99,0.28321899414062496,2015
train,conflict_fraction_source_pixels,positive_tiles,1.0,0.5201873779296875,2015
train,buildings_fraction_valid,all_tiles,0.0,0.0,2016
train,buildings_fraction_valid,all_tiles,0.25,0.026637568766385882,2016
train,buildings_fraction_valid,all_tiles,0.5,0.08052331959625808,2016
train,buildings_fraction_valid,all_tiles,0.75,0.19471957690061215,2016
train,buildings_fraction_valid,all_tiles,0.9,0.4045276811528712,2016
train,buildings_fraction_valid,all_tiles,0.95,0.522345690715354,2016
train,buildings_fraction_valid,all_tiles,0.99,0.6663559033726403,2016
train,buildings_fraction_valid,all_tiles,1.0,0.7713793527747016,2016
train,buildings_fraction_valid,positive_tiles,0.0,1.554098156839586e-05,2004
train,buildings_fraction_valid,positive_tiles,0.25,0.02749788104823761,2004
train,buildings_fraction_valid,positive_tiles,0.5,0.08171985622833927,2004
